ssid;bssid;channel;RSSI;security;hidden;time
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-76;7;2;1609459207
b'eduroam';b'l1\x0e\xba\n\xa4';1;-62;5;3;1609459207
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-63;5;2;1609459207
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-63;5;2;1609459207
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-63;5;2;1609459207
b'AAU';b'l1\x0e\xba\n\xa6';1;-62;0;3;1609459207
b'';b'l1\x0e\xba\n\xa5';1;-65;0;1;1609459207
b'';b'l1\x0e\xba\n\xa7';1;-63;5;1;1609459207
b'AAU-1x';b'l1\x0e\xe1\x0f`';6;-61;5;3;1609459207
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';6;-61;5;3;1609459207
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';6;-62;5;3;1609459207
b'Bear';b'\xc2+\xf9\xcay\x07';6;-73;5;3;1609459207
b'eduroam';b'l1\x0e\xe1\x0fd';6;-64;5;2;1609459207
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-77;5;1;1609459207
b'AAU';b'l1\x0e\xe1\x0ff';6;-62;0;2;1609459207
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-76;5;2;1609459207
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-77;5;1;1609459207
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-78;5;2;1609459207
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-77;0;1;1609459207
b'AAU';b'l1\x0e\xf3U\xe6';6;-79;0;1;1609459207
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-78;5;1;1609459207
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-76;5;1;1609459207
b'eduroam';b'l1\x0e\xf3U\xe4';6;-78;5;2;1609459207
b'MiR_202303313';b'\x08U1>\xea\x0c';11;-75;7;2;1609459207
b'linksys';b'\x00\x14\xbf\x8a\xa3,';11;-71;5;6;1609459207
b'ZyXEL';b'\x00\x19\xcbYu\xde';13;-67;3;3;1609459207
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-76;7;2;1609459209
b'AAU-1x';b'l1\x0e\xba\n\xa0';1;-59;5;2;1609459209
b'AAU-1-DAY';b'l1\x0e\xba\n\xa1';1;-61;5;2;1609459209
b'AAU-CONF-1';b'l1\x0e\xba\n\xa2';1;-60;5;2;1609459209
b'eduroam';b'l1\x0e\xba\n\xa4';1;-63;5;2;1609459209
b'AAU';b'l1\x0e\xba\n\xa6';1;-62;0;2;1609459209
b'AAU-1x';b'<Q\x0e\x13\xfd\x80';6;-72;5;2;1609459209
b'AAU-1-DAY';b'<Q\x0e\x13\xfd\x81';6;-71;5;2;1609459209
b'Bear';b'\xc2+\xf9\xcay\x07';6;-57;5;2;1609459209
b'AAU-1x';b'l1\x0e\xf3U\xe0';6;-71;5;2;1609459209
b'AAU-1-DAY';b'l1\x0e\xe1\x0fa';6;-51;5;3;1609459209
b'AAU-1x';b'l1\x0e\xe1\x0f`';6;-48;5;2;1609459209
b'AAU-1-DAY';b'l1\x0e\xf3U\xe1';6;-70;5;2;1609459209
b'AAU-CONF-1';b'l1\x0e\xf3U\xe2';6;-68;5;2;1609459209
b'AAU-CONF-1';b'l1\x0e\xe1\x0fb';6;-49;5;3;1609459209
b'eduroam';b'l1\x0e\xe1\x0fd';6;-51;5;3;1609459209
b'AAU';b'l1\x0e\xe1\x0ff';6;-49;0;3;1609459209
b'eduroam';b'l1\x0e\xf3U\xe4';6;-70;5;3;1609459209
b'AAU';b'l1\x0e\xf3U\xe6';6;-69;0;3;1609459209
b'eduroam';b'<Q\x0e\x13\xfd\x84';6;-74;5;2;1609459209
b'AAU';b'<Q\x0e\x13\xfd\x86';6;-71;0;2;1609459209
b'';b'l1\x0e\xf3U\xe5';6;-70;0;1;1609459209
b'';b'l1\x0e\xe1\x0fe';6;-50;0;1;1609459209
b'AAU-CONF-1';b'<Q\x0e\x13\xfd\x82';6;-72;5;1;1609459209
b'';b'l1\x0e\xf3U\xe7';6;-70;5;1;1609459209
b'';b'l1\x0e\xe1\x0fg';6;-52;5;1;1609459209
b'linksys';b'\x00\x14\xbf\x8a\xa3,';11;-63;5;5;1609459209
b'MiR_202303313';b'\x08U1>\xea\x0c';11;-79;7;1;1609459209
b'ZyXEL';b'\x00\x19\xcbYu\xde';13;-66;3;1;1609459209
b'shl00-210420ab';b'4\x13\xe8\xcf4Q';1;-74;7;3;1609459212
